NAME,Airport,year,yrMonth,serMonth,PRCP,TAVG,TMAX,TMIN
"ATLANTA, GA US",ATL,1930,1,1,5.36,42.8,50.9,34.7
"ATLANTA, GA US",ATL,1930,2,2,1.02,51.9,61.2,42.5
"ATLANTA, GA US",ATL,1930,3,3,4.34,49.3,57.5,41.1
"ATLANTA, GA US",ATL,1930,4,4,1.4,63.5,73,53.9
"ATLANTA, GA US",ATL,1930,5,5,6.51,70.4,79,61.9
"ATLANTA, GA US",ATL,1930,6,6,1.44,75.2,84.6,65.8
"ATLANTA, GA US",ATL,1930,7,7,1.49,81.3,91.3,71.2
"ATLANTA, GA US",ATL,1930,8,8,0.96,78.9,87.9,69.9
"ATLANTA, GA US",ATL,1930,9,9,3.52,75.6,83.4,67.9
"ATLANTA, GA US",ATL,1930,10,10,1.25,60,68.3,51.8
"ATLANTA, GA US",ATL,1930,11,11,5.94,49.6,56,43.2
"ATLANTA, GA US",ATL,1930,12,12,3.46,39.6,45.6,33.5
"ATLANTA, GA US",ATL,1931,1,13,2.61,43.4,50.5,36.3
"ATLANTA, GA US",ATL,1931,2,14,2.4,47.6,56.1,39
"ATLANTA, GA US",ATL,1931,3,15,3.46,46.7,55.3,38
"ATLANTA, GA US",ATL,1931,4,16,1.84,59.5,68.9,50.2
"ATLANTA, GA US",ATL,1931,5,17,2.78,66.6,76,57.2
"ATLANTA, GA US",ATL,1931,6,18,0.39,79.3,89.9,68.7
"ATLANTA, GA US",ATL,1931,7,19,5.35,81,90.2,71.8
"ATLANTA, GA US",ATL,1931,8,20,2.44,76.9,85.7,68.2
"ATLANTA, GA US",ATL,1931,9,21,1.32,77.5,87,68
"ATLANTA, GA US",ATL,1931,10,22,1.05,65.9,75,56.9
"ATLANTA, GA US",ATL,1931,11,23,0.57,59.8,67.5,52.1
"ATLANTA, GA US",ATL,1931,12,24,12.07,51.4,58.8,44
"ATLANTA, GA US",ATL,1932,1,25,4.58,51.2,58.9,43.5
"ATLANTA, GA US",ATL,1932,2,26,5.52,53.2,61.3,45.1
"ATLANTA, GA US",ATL,1932,3,27,4.54,48.8,58.5,39.1
"ATLANTA, GA US",ATL,1932,4,28,3.17,61.9,71.3,52.5
"ATLANTA, GA US",ATL,1932,5,29,1.8,67.5,76,59.1
"ATLANTA, GA US",ATL,1932,6,30,6.31,76.9,85.9,67.9
"ATLANTA, GA US",ATL,1932,7,31,2.78,80.6,89.5,71.7
"ATLANTA, GA US",ATL,1932,8,32,2.3,78.4,86.2,70.6
"ATLANTA, GA US",ATL,1932,9,33,3.52,71.9,80,63.7
"ATLANTA, GA US",ATL,1932,10,34,6.9,61.4,70.2,52.6
"ATLANTA, GA US",ATL,1932,11,35,2.96,47.8,55.8,39.8
"ATLANTA, GA US",ATL,1932,12,36,11.6,47.6,54.7,40.4
"ATLANTA, GA US",ATL,1933,1,37,2.43,50.3,57.7,42.8
"ATLANTA, GA US",ATL,1933,2,38,5.65,44.4,52.3,36.4
"ATLANTA, GA US",ATL,1933,3,39,4.42,52.6,63,42.3
"ATLANTA, GA US",ATL,1933,4,40,2.47,59.6,69.2,50
"ATLANTA, GA US",ATL,1933,5,41,3.22,74.1,83.4,64.7
"ATLANTA, GA US",ATL,1933,6,42,5.65,78,88.3,67.7
"ATLANTA, GA US",ATL,1933,7,43,3.22,77.3,85.8,68.9
"ATLANTA, GA US",ATL,1933,8,44,1.81,77.4,86,68.8
"ATLANTA, GA US",ATL,1933,9,45,1.26,77.5,86.8,68.3
"ATLANTA, GA US",ATL,1933,10,46,2.44,63.8,72.4,55.1
"ATLANTA, GA US",ATL,1933,11,47,0.8,51.6,60.9,42.3
"ATLANTA, GA US",ATL,1933,12,48,2.47,51.9,60.2,43.6
"ATLANTA, GA US",ATL,1934,1,49,2.72,45.3,52.7,37.8
"ATLANTA, GA US",ATL,1934,2,50,4.65,40,49,30.9
