NAME,Airport,year,yrMonth,serMonth,PRCP,TAVG,TMAX,TMIN
"HOUSTON, TX US",HOU,1947,1,1,4.39,52.2,59.6,44.9
"HOUSTON, TX US",HOU,1947,2,2,1.09,48.8,59.4,38.3
"HOUSTON, TX US",HOU,1947,3,3,2.79,55.9,66.4,45.5
"HOUSTON, TX US",HOU,1947,4,4,2.02,69.4,78.5,60.2
"HOUSTON, TX US",HOU,1947,5,5,8.54,75.4,85.2,65.5
"HOUSTON, TX US",HOU,1947,6,6,1.74,81.6,91.1,72.1
"HOUSTON, TX US",HOU,1947,7,7,2.17,82.5,92.7,72.3
"HOUSTON, TX US",HOU,1947,8,8,8.87,82.5,92.2,72.9
"HOUSTON, TX US",HOU,1947,9,9,1.29,80,91,69
"HOUSTON, TX US",HOU,1947,10,10,1.91,75.1,86.6,63.5
"HOUSTON, TX US",HOU,1947,11,11,4.59,59.1,69,49.2
"HOUSTON, TX US",HOU,1947,12,12,3.82,55,64.3,45.7
"HOUSTON, TX US",HOU,1948,1,13,4.54,46.1,55.6,36.7
"HOUSTON, TX US",HOU,1948,2,14,4.11,54.8,63.6,45.9
"HOUSTON, TX US",HOU,1948,3,15,1.94,61.7,71.1,52.3
"HOUSTON, TX US",HOU,1948,4,16,2.19,71.4,82.1,60.6
"HOUSTON, TX US",HOU,1948,5,17,5.35,76.7,86.7,66.7
"HOUSTON, TX US",HOU,1948,6,18,3.59,82.3,93.2,71.5
"HOUSTON, TX US",HOU,1948,7,19,2.74,84.2,94.4,74.1
"HOUSTON, TX US",HOU,1948,8,20,2.8,84.6,95.4,73.7
"HOUSTON, TX US",HOU,1948,9,21,2.74,77.4,87,67.7
"HOUSTON, TX US",HOU,1948,10,22,0.92,69.6,82,57.3
"HOUSTON, TX US",HOU,1948,11,23,7.24,60.5,71.7,49.2
"HOUSTON, TX US",HOU,1948,12,24,1.37,59,69.4,48.6
"HOUSTON, TX US",HOU,1949,1,25,4.77,52.5,61.4,43.6
"HOUSTON, TX US",HOU,1949,2,26,5.24,59.1,66.6,51.5
"HOUSTON, TX US",HOU,1949,3,27,4.43,62.5,71.3,53.7
"HOUSTON, TX US",HOU,1949,4,28,6.17,66,75.5,56.6
"HOUSTON, TX US",HOU,1949,5,29,1.18,78,87.3,68.7
"HOUSTON, TX US",HOU,1949,6,30,2.56,82.7,92.2,73.1
"HOUSTON, TX US",HOU,1949,7,31,9.39,83.2,92.4,73.9
"HOUSTON, TX US",HOU,1949,8,32,3.87,82,92.2,71.9
"HOUSTON, TX US",HOU,1949,9,33,1.31,80,89.1,71
"HOUSTON, TX US",HOU,1949,10,34,22.31,71.9,79,64.8
"HOUSTON, TX US",HOU,1949,11,35,0.18,62.7,75.6,49.9
"HOUSTON, TX US",HOU,1949,12,36,9.8,58.1,66.4,49.8
"HOUSTON, TX US",HOU,1950,1,37,4.63,63.1,72,54.3
"HOUSTON, TX US",HOU,1950,2,38,5,61.3,70.5,52
"HOUSTON, TX US",HOU,1950,3,39,1.22,60.5,70.5,50.5
"HOUSTON, TX US",HOU,1950,4,40,4.96,67,75.9,58.1
"HOUSTON, TX US",HOU,1950,5,41,2.49,78,86.1,69.8
"HOUSTON, TX US",HOU,1950,6,42,7.1,80.3,89.1,71.5
"HOUSTON, TX US",HOU,1950,7,43,3.29,82.2,90.8,73.7
"HOUSTON, TX US",HOU,1950,8,44,0.72,82.4,92.5,72.2
"HOUSTON, TX US",HOU,1950,9,45,1.51,79.3,89.1,69.5
"HOUSTON, TX US",HOU,1950,10,46,0.69,73,84.7,61.3
"HOUSTON, TX US",HOU,1950,11,47,1.17,60.7,73.1,48.3
"HOUSTON, TX US",HOU,1950,12,48,1.12,55.1,66.4,43.8
"HOUSTON, TX US",HOU,1951,1,49,5.37,53.7,65.1,42.4
"HOUSTON, TX US",HOU,1951,2,50,1.43,55.2,65.4,44.9
"HOUSTON, TX US",HOU,1951,3,51,4.84,62.9,73.1,52.7
"HOUSTON, TX US",HOU,1951,4,52,1.28,67,76.8,57.2
"HOUSTON, TX US",HOU,1951,5,53,3.32,74.9,84.5,65.4
"HOUSTON, TX US",HOU,1951,6,54,3.32,82,91.2,72.9
"HOUSTON, TX US",HOU,1951,7,55,1.06,84.2,93.5,74.9
"HOUSTON, TX US",HOU,1951,8,56,2.01,85.8,96.4,75.1
"HOUSTON, TX US",HOU,1951,9,57,5.41,79.6,88.1,71
"HOUSTON, TX US",HOU,1951,10,58,1.18,72.4,82.3,62.4
"HOUSTON, TX US",HOU,1951,11,59,1.55,58.2,67.8,48.5
"HOUSTON, TX US",HOU,1951,12,60,2.54,58.1,68.6,47.6
"HOUSTON, TX US",HOU,1952,1,61,0.86,62,71.2,52.8
"HOUSTON, TX US",HOU,1952,2,62,7.12,58.8,68.1,49.5
"HOUSTON, TX US",HOU,1952,3,63,2.16,60,70.6,49.5
"HOUSTON, TX US",HOU,1952,4,64,6.13,64.8,74.8,54.9
"HOUSTON, TX US",HOU,1952,5,65,3.5,73.3,83.6,63
"HOUSTON, TX US",HOU,1952,6,66,3.74,81.2,90.8,71.7
"HOUSTON, TX US",HOU,1952,7,67,4.33,82.6,90.8,74.5
"HOUSTON, TX US",HOU,1952,8,68,1.09,84.6,94.8,74.4
"HOUSTON, TX US",HOU,1952,9,69,2.62,78.5,88.5,68.4
"HOUSTON, TX US",HOU,1952,10,70,0,65.8,79.3,52.4
"HOUSTON, TX US",HOU,1952,11,71,6.58,59,67.7,50.2
"HOUSTON, TX US",HOU,1952,12,72,5.54,53.7,62.6,44.8
"HOUSTON, TX US",HOU,1953,1,73,1.57,56.5,68.1,45
