NAME,Airport,year,yrMonth,serMonth,PRCP,TAVG,TMAX,TMIN
"New York City, NY US",LGA,1940,1,1,2.44,24.9,30.4,19.3
"New York City, NY US",LGA,1940,2,2,2.72,31.9,37.6,26.2
"New York City, NY US",LGA,1940,3,3,4.8,34.1,39.7,28.4
"New York City, NY US",LGA,1940,4,4,5.57,46.2,53.7,38.7
"New York City, NY US",LGA,1940,5,5,5.35,59.4,67.2,51.5
"New York City, NY US",LGA,1940,6,6,3.06,69.2,78,60.3
"New York City, NY US",LGA,1940,7,7,3.24,75.6,84.9,66.4
"New York City, NY US",LGA,1940,8,8,4.74,70.9,78,63.7
"New York City, NY US",LGA,1940,9,9,3.07,66.5,74.4,58.6
"New York City, NY US",LGA,1940,10,10,2.35,53.4,61,45.8
"New York City, NY US",LGA,1940,11,11,3.55,45.5,51.2,39.8
"New York City, NY US",LGA,1940,12,12,2.56,38.2,44.6,31.8
"New York City, NY US",LGA,1941,1,13,3.31,29.6,35.7,23.5
"New York City, NY US",LGA,1941,2,14,3.32,31,37.1,24.9
"New York City, NY US",LGA,1941,3,15,2.86,35.6,43.2,28
"New York City, NY US",LGA,1941,4,16,2.37,55.5,65.5,45.4
"New York City, NY US",LGA,1941,5,17,2.42,63.4,73.5,53.4
"New York City, NY US",LGA,1941,6,18,4.09,71.3,80,62.6
"New York City, NY US",LGA,1941,7,19,3.96,75.8,83.9,67.6
"New York City, NY US",LGA,1941,8,20,5.09,74.7,82.8,66.5
"New York City, NY US",LGA,1941,9,21,0.62,70.4,79.4,61.3
"New York City, NY US",LGA,1941,10,22,1.91,61.4,68.3,54.6
"New York City, NY US",LGA,1941,11,23,3.06,50.1,56.4,43.7
"New York City, NY US",LGA,1941,12,24,4.45,38.9,44.7,33
"New York City, NY US",LGA,1942,1,25,2.74,30.8,36.3,25.2
"New York City, NY US",LGA,1942,2,26,2.86,30.1,36,24.1
"New York City, NY US",LGA,1942,3,27,6.82,43.1,49.6,36.6
"New York City, NY US",LGA,1942,4,28,1.18,53.8,64,43.6
"New York City, NY US",LGA,1942,5,29,2.44,64.7,72.5,56.9
"New York City, NY US",LGA,1942,6,30,3.44,70.9,79,62.8
"New York City, NY US",LGA,1942,7,31,7.64,76.6,84.7,68.4
"New York City, NY US",LGA,1942,8,32,7.49,73.8,80.8,66.9
"New York City, NY US",LGA,1942,9,33,2.72,68.6,76.6,60.7
"New York City, NY US",LGA,1942,10,34,2.31,59.1,66.1,51.9
"New York City, NY US",LGA,1942,11,35,3.56,47.4,54.4,40.5
"New York City, NY US",LGA,1942,12,36,4.87,32,38.8,25.1
"New York City, NY US",LGA,1943,1,37,2.26,31,37.5,24.5
"New York City, NY US",LGA,1943,2,38,1.66,34.8,42.5,27
"New York City, NY US",LGA,1943,3,39,4.1,40.3,49.2,31.3
"New York City, NY US",LGA,1943,4,40,2.27,46.7,55.4,37.9
"New York City, NY US",LGA,1943,5,41,4.33,62.5,71.4,53.5
"New York City, NY US",LGA,1943,6,42,2.31,76.4,85.1,67.7
"New York City, NY US",LGA,1943,7,43,3.49,76.4,84.3,68.6
"New York City, NY US",LGA,1943,8,44,4.18,76,83.9,68.2
"New York City, NY US",LGA,1943,9,45,1.64,67.6,75.1,60.1
"New York City, NY US",LGA,1943,10,46,9.04,56.4,62.9,49.8
"New York City, NY US",LGA,1943,11,47,2.29,45.8,52.1,39.5
"New York City, NY US",LGA,1943,12,48,1.43,34.3,41.5,27.1
"New York City, NY US",LGA,1944,1,49,3.74,34.8,40.5,29.1
"New York City, NY US",LGA,1944,2,50,2.15,33.5,39.8,27.1
"New York City, NY US",LGA,1944,3,51,6.69,37.5,43.7,31.3
"New York City, NY US",LGA,1944,4,52,5.2,48.6,56.5,40.8
"New York City, NY US",LGA,1944,5,53,1.22,65.7,75.3,56.2
"New York City, NY US",LGA,1944,6,54,2.59,71.9,80.1,63.7
"New York City, NY US",LGA,1944,7,55,3.46,78.4,87.5,69.4
"New York City, NY US",LGA,1944,8,56,3.7,77.5,86.2,68.8
"New York City, NY US",LGA,1944,9,57,8.85,69.6,76,63.2
"New York City, NY US",LGA,1944,10,58,3.26,56.9,64.3,49.5
"New York City, NY US",LGA,1944,11,59,5.29,46,51.8,40.1
"New York City, NY US",LGA,1944,12,60,4.83,33,38.5,27.5
"New York City, NY US",LGA,1945,1,61,2.71,25.7,32.4,19
"New York City, NY US",LGA,1945,2,62,2.92,33.8,40,27.7
"New York City, NY US",LGA,1945,3,63,2.47,49.7,59,40.4
"New York City, NY US",LGA,1945,4,64,3.06,55.3,63.8,46.9
"New York City, NY US",LGA,1945,5,65,4.94,59,66.6,51.5
"New York City, NY US",LGA,1945,6,66,3.08,71,79.2,62.9
"New York City, NY US",LGA,1945,7,67,4.55,75.1,81.7,68.6
"New York City, NY US",LGA,1945,8,68,2.83,74,81.9,66
"New York City, NY US",LGA,1945,9,69,5.46,70.2,77.4,63.1
"New York City, NY US",LGA,1945,10,70,1.85,56.4,64.1,48.6
"New York City, NY US",LGA,1945,11,71,5.89,47.2,54,40.4
"New York City, NY US",LGA,1945,12,72,5.04,30.8,35.8,25.8
"New York City, NY US",LGA,1946,1,73,1.95,33.6,40.5,26.6
"New York City, NY US",LGA,1946,2,74,2.06,31.1,38.1,24.2
"New York City, NY US",LGA,1946,3,75,3.97,48.5,57.7,39.3
"New York City, NY US",LGA,1946,4,76,1.76,50,58.1,41.9
"New York City, NY US",LGA,1946,5,77,5.59,61.4,70.2,52.6
"New York City, NY US",LGA,1946,6,78,4.24,69.8,79,60.7
"New York City, NY US",LGA,1946,7,79,4.71,75.3,83.4,67.2
"New York City, NY US",LGA,1946,8,80,6.82,71.4,78.8,64
"New York City, NY US",LGA,1946,9,81,4.11,70.1,78.1,62.1
"New York City, NY US",LGA,1946,10,82,0.91,61.6,69.8,53.5
"New York City, NY US",LGA,1946,11,83,1.64,50.8,57.4,44.1
"New York City, NY US",LGA,1946,12,84,2.42,38.5,45.6,31.3
"New York City, NY US",LGA,1947,1,85,3.18,37,43.7,30.3
"New York City, NY US",LGA,1947,2,86,2.85,29.4,36.2,22.7
"New York City, NY US",LGA,1947,3,87,2.42,38.3,44.7,31.9
"New York City, NY US",LGA,1947,4,88,5.04,50.1,58.7,41.4
"New York City, NY US",LGA,1947,5,89,4.25,59.3,67.9,50.6
"New York City, NY US",LGA,1947,6,90,2.73,68.2,76.6,59.7
"New York City, NY US",LGA,1947,7,91,3.9,75.7,83.1,68.3
"New York City, NY US",LGA,1947,8,92,4.61,75.7,83.4,68
"New York City, NY US",LGA,1947,9,93,2.83,68.9,76.7,61.1
"New York City, NY US",LGA,1947,10,94,2.36,63.3,71.7,54.8
"New York City, NY US",LGA,1947,11,95,6.19,44.5,50.1,38.9
"New York City, NY US",LGA,1947,12,96,3.99,34.2,40.2,28.3
"New York City, NY US",LGA,1948,1,97,4.38,25.9,32.1,19.7
"New York City, NY US",LGA,1948,2,98,2.5,30.7,37.6,23.8
"New York City, NY US",LGA,1948,3,99,3.58,41.2,50.1,32.3
"New York City, NY US",LGA,1948,4,100,3.24,50.2,58.5,41.9
"New York City, NY US",LGA,1948,5,101,7.43,59.4,67,51.7
"New York City, NY US",LGA,1948,6,102,5.94,69.5,77.9,61.1
"New York City, NY US",LGA,1948,7,103,5.02,77.1,85.6,68.7
"New York City, NY US",LGA,1948,8,104,3.84,75.5,82.8,68.1
"New York City, NY US",LGA,1948,9,105,1.17,70,78.4,61.6
"New York City, NY US",LGA,1948,10,106,1.61,56.4,63.5,49.3
"New York City, NY US",LGA,1948,11,107,2.72,52.4,58.3,46.4
"New York City, NY US",LGA,1948,12,108,5.31,38.4,44.1,32.8
"New York City, NY US",LGA,1949,1,109,5.77,38.6,44.7,32.5
"New York City, NY US",LGA,1949,2,110,3.75,38.9,46.5,31.3
"New York City, NY US",LGA,1949,3,111,1.63,42.3,50.6,33.9
"New York City, NY US",LGA,1949,4,112,3.77,53.1,61.2,45
"New York City, NY US",LGA,1949,5,113,4.52,62.6,71.8,53.3
"New York City, NY US",LGA,1949,6,114,0.03,73.5,82.2,64.8
"New York City, NY US",LGA,1949,7,115,3.91,79.4,87.8,71.1
"New York City, NY US",LGA,1949,8,116,3.12,76.6,84.6,68.6
"New York City, NY US",LGA,1949,9,117,3.91,66.1,73.5,58.7
"New York City, NY US",LGA,1949,10,118,1.89,62.8,70.3,55.3
"New York City, NY US",LGA,1949,11,119,1.04,46.4,53,39.8
"New York City, NY US",LGA,1949,12,120,2.16,39.6,46.1,33.2
"New York City, NY US",LGA,1950,1,121,2.5,41.2,48.6,33.8
"New York City, NY US",LGA,1950,2,122,4.21,32.4,38.3,26.4
"New York City, NY US",LGA,1950,3,123,3.25,36.6,44.7,28.5
"New York City, NY US",LGA,1950,4,124,1.93,48.1,56.2,40
"New York City, NY US",LGA,1950,5,125,2.48,58.4,66.5,50.3
"New York City, NY US",LGA,1950,6,126,2.4,70.4,79.5,61.3
"New York City, NY US",LGA,1950,7,127,5.42,75,83.1,66.8
"New York City, NY US",LGA,1950,8,128,4.88,73.2,80.4,65.9
"New York City, NY US",LGA,1950,9,129,2.02,64.9,71.7,58
"New York City, NY US",LGA,1950,10,130,2.13,60.2,67.7,52.6
"New York City, NY US",LGA,1950,11,131,6.62,48.5,55.6,41.4
"New York City, NY US",LGA,1950,12,132,5,35.6,41,30.1
"New York City, NY US",LGA,1951,1,133,4.27,36.8,43.9,29.7
"New York City, NY US",LGA,1951,2,134,4.03,36.6,44.1,29.1
"New York City, NY US",LGA,1951,3,135,6.98,42.3,48.7,35.8
"New York City, NY US",LGA,1951,4,136,2.56,53.6,61.8,45.3
"New York City, NY US",LGA,1951,5,137,5.47,62.9,72.1,53.7
"New York City, NY US",LGA,1951,6,138,2.65,69.9,77.6,62.2
"New York City, NY US",LGA,1951,7,139,3.89,76.5,84.3,68.8
"New York City, NY US",LGA,1951,8,140,2.98,75.1,82.8,67.4
"New York City, NY US",LGA,1951,9,141,1.01,68.6,76.5,60.7
"New York City, NY US",LGA,1951,10,142,4.42,59.3,65.9,52.7
"New York City, NY US",LGA,1951,11,143,7.92,44,51.3,36.7
"New York City, NY US",LGA,1951,12,144,5.26,39,45.8,32.2
"New York City, NY US",LGA,1952,1,145,5.52,36.7,43.9,29.4
"New York City, NY US",LGA,1952,2,146,2.61,36.5,42.2,30.8
"New York City, NY US",LGA,1952,3,147,5.3,40.5,46.3,34.7
"New York City, NY US",LGA,1952,4,148,6.58,54.8,62.3,47.2
"New York City, NY US",LGA,1952,5,149,5.62,60.8,68.7,52.9
"New York City, NY US",LGA,1952,6,150,3.83,74.1,82.7,65.5
"New York City, NY US",LGA,1952,7,151,4.66,80.4,88.8,72
"New York City, NY US",LGA,1952,8,152,6.44,75.3,82.4,68.3
"New York City, NY US",LGA,1952,9,153,2.45,70.1,78.1,62.1
"New York City, NY US",LGA,1952,10,154,0.86,55.8,63.8,47.7
"New York City, NY US",LGA,1952,11,155,2.93,48.9,54.5,43.2
"New York City, NY US",LGA,1952,12,156,4.57,39,44.1,33.8
"New York City, NY US",LGA,1953,1,157,5.5,37.9,43.5,32.4
"New York City, NY US",LGA,1953,2,158,2.56,38.8,45.8,31.8
"New York City, NY US",LGA,1953,3,159,8.74,43.4,49.7,37.1
"New York City, NY US",LGA,1953,4,160,6.07,52.2,59.6,44.9
"New York City, NY US",LGA,1953,5,161,4.37,63.2,71.4,55
"New York City, NY US",LGA,1953,6,162,1.78,73.5,82.9,64.2
"New York City, NY US",LGA,1953,7,163,4.65,77.6,86,69.2
"New York City, NY US",LGA,1953,8,164,3.04,76.1,84.5,67.7
"New York City, NY US",LGA,1953,9,165,1.88,70.3,78,62.6
"New York City, NY US",LGA,1953,10,166,5.25,60.7,68.8,52.8
"New York City, NY US",LGA,1953,11,167,2.58,50.1,57.2,43.1
"New York City, NY US",LGA,1953,12,168,4.81,41.6,47.8,35.5
"New York City, NY US",LGA,1954,1,169,1.91,31.5,38.7,24.3
"New York City, NY US",LGA,1954,2,170,1.89,40.2,48,32.3
"New York City, NY US",LGA,1954,3,171,3.8,42.1,49.6,34.6
"New York City, NY US",LGA,1954,4,172,3.44,53.9,63.3,44.5
"New York City, NY US",LGA,1954,5,173,3.68,60.2,67.5,52.9
"New York City, NY US",LGA,1954,6,174,1.48,71.7,80.7,62.7
"New York City, NY US",LGA,1954,7,175,0.69,76.8,85.5,68.1
"New York City, NY US",LGA,1954,8,176,7.86,73.5,81.5,65.6
"New York City, NY US",LGA,1954,9,177,5.24,68.3,75.5,61.1
"New York City, NY US",LGA,1954,10,178,2.3,62.2,69.6,54.9
"New York City, NY US",LGA,1954,11,179,5.97,46.8,53,40.7
"New York City, NY US",LGA,1954,12,180,4.43,36.4,42.2,30.7
"New York City, NY US",LGA,1955,1,181,0.85,31.4,37,25.7
"New York City, NY US",LGA,1955,2,182,3.16,35.1,42.8,27.5
"New York City, NY US",LGA,1955,3,183,4.76,42.1,50.2,33.9
"New York City, NY US",LGA,1955,4,184,2.74,53.3,61.4,45.2
"New York City, NY US",LGA,1955,5,185,1.81,65.2,75.2,55.1
"New York City, NY US",LGA,1955,6,186,2.03,70,78.4,61.6
"New York City, NY US",LGA,1955,7,187,0.82,80.9,89.4,72.2
"New York City, NY US",LGA,1955,8,188,16.06,78.7,86.7,70.6
"New York City, NY US",LGA,1955,9,189,2.73,68.7,75.9,61.5
"New York City, NY US",LGA,1955,10,190,7.14,61.2,68.6,53.7
"New York City, NY US",LGA,1955,11,191,4.5,45,51.6,38.4
"New York City, NY US",LGA,1955,12,192,0.31,30.6,36.8,24.5
"New York City, NY US",LGA,1956,1,193,1.73,32.8,38,27.5
"New York City, NY US",LGA,1956,2,194,4.84,37,43,31.1
"New York City, NY US",LGA,1956,3,195,4.77,38,44.4,31.6
"New York City, NY US",LGA,1956,4,196,3.32,48.4,55.9,40.9
"New York City, NY US",LGA,1956,5,197,2.59,58.9,67.8,50
"New York City, NY US",LGA,1956,6,198,2.76,72.4,80.9,63.9
"New York City, NY US",LGA,1956,7,199,4.16,74.2,81.5,66.8
"New York City, NY US",LGA,1956,8,200,3.07,75,82,68
"New York City, NY US",LGA,1956,9,201,2.12,65.8,72.9,58.7
"New York City, NY US",LGA,1956,10,202,4.94,58.6,65.8,51.4
"New York City, NY US",LGA,1956,11,203,2.89,47.6,53.8,41.3
"New York City, NY US",LGA,1956,12,204,4.07,41.6,48.1,35.1
"New York City, NY US",LGA,1957,1,205,1.86,29.1,35.3,22.9
"New York City, NY US",LGA,1957,2,206,2.2,37.8,44.2,31.3
"New York City, NY US",LGA,1957,3,207,2.43,42.4,49.2,35.5
"New York City, NY US",LGA,1957,4,208,5.7,53.1,61.8,44.5
"New York City, NY US",LGA,1957,5,209,2.93,63.4,72.5,54.3
"New York City, NY US",LGA,1957,6,210,1.65,74.5,83.1,65.8
"New York City, NY US",LGA,1957,7,211,1.32,77.5,86,69.1
"New York City, NY US",LGA,1957,8,212,2.43,73.9,81.9,65.9
"New York City, NY US",LGA,1957,9,213,4.41,70.2,77.5,62.9
"New York City, NY US",LGA,1957,10,214,3.73,56.9,63.8,50.1
"New York City, NY US",LGA,1957,11,215,4.17,49.9,55.9,44
"New York City, NY US",LGA,1957,12,216,5.26,41.1,46.2,35.9
"New York City, NY US",LGA,1958,1,217,5.23,32.3,37.6,26.9
"New York City, NY US",LGA,1958,2,218,5.47,27.9,33.1,22.7
"New York City, NY US",LGA,1958,3,219,4.06,40.7,45.9,35.5
"New York City, NY US",LGA,1958,4,220,7.24,52.7,60.4,45
"New York City, NY US",LGA,1958,5,221,4.72,59.1,66,52.1
