NAME,Airport,year,yrMonth,serMonth,PRCP,TAVG,TMAX,TMIN
"OKLAHOMA CITY, OK US",OKC,1948,1,1,0.61,31.8,41,22.6
"OKLAHOMA CITY, OK US",OKC,1948,2,2,2.52,37.6,45.7,29.6
"OKLAHOMA CITY, OK US",OKC,1948,3,3,7.17,43.8,53.5,34.1
"OKLAHOMA CITY, OK US",OKC,1948,4,4,1.99,66.5,78.8,54.2
"OKLAHOMA CITY, OK US",OKC,1948,5,5,4.62,68.6,79.1,58.2
"OKLAHOMA CITY, OK US",OKC,1948,6,6,7.78,78.1,88.8,67.3
"OKLAHOMA CITY, OK US",OKC,1948,7,7,1.69,80.4,89.9,71
"OKLAHOMA CITY, OK US",OKC,1948,8,8,1.95,80.4,91.8,68.9
"OKLAHOMA CITY, OK US",OKC,1948,9,9,0,74.7,88,61.5
"OKLAHOMA CITY, OK US",OKC,1948,10,10,0.25,61.9,75.3,48.4
"OKLAHOMA CITY, OK US",OKC,1948,11,11,1.33,47.6,58.6,36.6
"OKLAHOMA CITY, OK US",OKC,1948,12,12,0.26,42.8,53.5,32.1
"OKLAHOMA CITY, OK US",OKC,1949,1,13,5.69,29.6,38.6,20.6
"OKLAHOMA CITY, OK US",OKC,1949,2,14,0.73,39.4,48.6,30.2
"OKLAHOMA CITY, OK US",OKC,1949,3,15,1.18,49.4,60.5,38.3
"OKLAHOMA CITY, OK US",OKC,1949,4,16,1.56,58.7,68.8,48.7
"OKLAHOMA CITY, OK US",OKC,1949,5,17,5.71,70.2,80.1,60.3
"OKLAHOMA CITY, OK US",OKC,1949,6,18,5.72,77.4,86.8,68.1
"OKLAHOMA CITY, OK US",OKC,1949,7,19,1,82.2,92.7,71.7
"OKLAHOMA CITY, OK US",OKC,1949,8,20,2.2,78.4,89.9,67
"OKLAHOMA CITY, OK US",OKC,1949,9,21,2.3,69.4,80.2,58.6
"OKLAHOMA CITY, OK US",OKC,1949,10,22,3.26,61.6,72.1,51.1
"OKLAHOMA CITY, OK US",OKC,1949,11,23,0,54.4,67.3,41.4
"OKLAHOMA CITY, OK US",OKC,1949,12,24,1.04,41.6,52.3,30.8
"OKLAHOMA CITY, OK US",OKC,1950,1,25,1.38,37.4,48.4,26.3
"OKLAHOMA CITY, OK US",OKC,1950,2,26,1.33,45.3,58,32.6
"OKLAHOMA CITY, OK US",OKC,1950,3,27,0.15,48.1,61.2,35.1
"OKLAHOMA CITY, OK US",OKC,1950,4,28,0.75,58.4,70.8,46
"OKLAHOMA CITY, OK US",OKC,1950,5,29,9.54,68.3,78.5,58.2
"OKLAHOMA CITY, OK US",OKC,1950,6,30,2.06,75.9,85,66.7
"OKLAHOMA CITY, OK US",OKC,1950,7,31,7.55,76.1,84.5,67.8
"OKLAHOMA CITY, OK US",OKC,1950,8,32,3.8,76.2,86.1,66.3
"OKLAHOMA CITY, OK US",OKC,1950,9,33,2.65,71,80.5,61.4
"OKLAHOMA CITY, OK US",OKC,1950,10,34,0.47,67.4,80.2,54.5
"OKLAHOMA CITY, OK US",OKC,1950,11,35,0.5,46.8,59.7,33.8
"OKLAHOMA CITY, OK US",OKC,1950,12,36,0.15,39.1,51.7,26.5
"OKLAHOMA CITY, OK US",OKC,1951,1,37,1.52,38.9,50.3,27.4
"OKLAHOMA CITY, OK US",OKC,1951,2,38,2.05,41.5,53.2,29.8
"OKLAHOMA CITY, OK US",OKC,1951,3,39,1.26,47.4,60.5,34.4
"OKLAHOMA CITY, OK US",OKC,1951,4,40,3.02,57.1,68.3,45.8
"OKLAHOMA CITY, OK US",OKC,1951,5,41,7.85,67.4,77.2,57.5
"OKLAHOMA CITY, OK US",OKC,1951,6,42,6.17,75.2,84.3,66.1
"OKLAHOMA CITY, OK US",OKC,1951,7,43,3.16,81.5,91.5,71.5
"OKLAHOMA CITY, OK US",OKC,1951,8,44,1.51,84.2,95.6,72.7
"OKLAHOMA CITY, OK US",OKC,1951,9,45,3.11,72.9,84.9,60.9
"OKLAHOMA CITY, OK US",OKC,1951,10,46,1.42,62,73.7,50.4
"OKLAHOMA CITY, OK US",OKC,1951,11,47,1.19,43.3,53.4,33.2
"OKLAHOMA CITY, OK US",OKC,1951,12,48,0.07,41.2,54,28.3
"OKLAHOMA CITY, OK US",OKC,1952,1,49,1.09,44.1,54.5,33.8
"OKLAHOMA CITY, OK US",OKC,1952,2,50,1.46,45.6,55.9,35.2
"OKLAHOMA CITY, OK US",OKC,1952,3,51,2.42,47.3,58.4,36.1
"OKLAHOMA CITY, OK US",OKC,1952,4,52,2.13,56.5,67,46.1
"OKLAHOMA CITY, OK US",OKC,1952,5,53,7.46,68.3,79.2,57.4
"OKLAHOMA CITY, OK US",OKC,1952,6,54,0.63,81.5,92,71
"OKLAHOMA CITY, OK US",OKC,1952,7,55,2.71,81.1,92.3,69.9
"OKLAHOMA CITY, OK US",OKC,1952,8,56,1.91,84.8,96.7,72.9
"OKLAHOMA CITY, OK US",OKC,1952,9,57,0.65,74.9,88.3,61.5
"OKLAHOMA CITY, OK US",OKC,1952,10,58,0,60.3,74,46.5
"OKLAHOMA CITY, OK US",OKC,1952,11,59,1.93,47.9,58.3,37.6
"OKLAHOMA CITY, OK US",OKC,1952,12,60,0.81,38.9,48.4,29.5
"OKLAHOMA CITY, OK US",OKC,1953,1,61,0.49,42.7,55.2,30.3
"OKLAHOMA CITY, OK US",OKC,1953,2,62,1.06,43.9,55.4,32.4
"OKLAHOMA CITY, OK US",OKC,1953,3,63,3.89,54.4,65.4,43.3
"OKLAHOMA CITY, OK US",OKC,1953,4,64,5.22,55.8,67.2,44.5
"OKLAHOMA CITY, OK US",OKC,1953,5,65,2.09,68.3,78.4,58.1
"OKLAHOMA CITY, OK US",OKC,1953,6,66,1.34,84.3,95.8,72.8
"OKLAHOMA CITY, OK US",OKC,1953,7,67,5.06,79,88.8,69.2
"OKLAHOMA CITY, OK US",OKC,1953,8,68,2.06,79,89.8,68.2
"OKLAHOMA CITY, OK US",OKC,1953,9,69,0.99,75.9,90.1,61.8
"OKLAHOMA CITY, OK US",OKC,1953,10,70,5.75,63.7,74.3,53
"OKLAHOMA CITY, OK US",OKC,1953,11,71,0.97,49.5,60.2,38.9
"OKLAHOMA CITY, OK US",OKC,1953,12,72,1.61,39.3,48.8,29.8
"OKLAHOMA CITY, OK US",OKC,1954,1,73,0.43,38,49.7,26.2
"OKLAHOMA CITY, OK US",OKC,1954,2,74,0.69,51.3,65.2,37.4
"OKLAHOMA CITY, OK US",OKC,1954,3,75,0.67,47.5,59,35.9
"OKLAHOMA CITY, OK US",OKC,1954,4,76,3.04,65.6,76.5,54.7
"OKLAHOMA CITY, OK US",OKC,1954,5,77,6.22,63,72.3,53.7
"OKLAHOMA CITY, OK US",OKC,1954,6,78,0.93,77.8,89.5,66.2
"OKLAHOMA CITY, OK US",OKC,1954,7,79,0.79,87.3,100.5,74.2
"OKLAHOMA CITY, OK US",OKC,1954,8,80,1.24,85.9,98.8,73
"OKLAHOMA CITY, OK US",OKC,1954,9,81,0.63,79,93.1,64.9
"OKLAHOMA CITY, OK US",OKC,1954,10,82,1.77,63.8,74.8,52.8
"OKLAHOMA CITY, OK US",OKC,1954,11,83,0.1,51.7,65,38.4
"OKLAHOMA CITY, OK US",OKC,1954,12,84,1.35,41.4,53.4,29.4
"OKLAHOMA CITY, OK US",OKC,1955,1,85,1.04,38.7,48,29.4
"OKLAHOMA CITY, OK US",OKC,1955,2,86,1.35,39.8,52,27.6
"OKLAHOMA CITY, OK US",OKC,1955,3,87,1.5,49.5,62.8,36.1
"OKLAHOMA CITY, OK US",OKC,1955,4,88,0.78,64.1,76.4,51.9
"OKLAHOMA CITY, OK US",OKC,1955,5,89,9.41,70.6,80.8,60.4
"OKLAHOMA CITY, OK US",OKC,1955,6,90,6.68,73.1,83,63.2
"OKLAHOMA CITY, OK US",OKC,1955,7,91,0.36,83.1,94.2,71.9
"OKLAHOMA CITY, OK US",OKC,1955,8,92,3.18,80.7,92,69.5
"OKLAHOMA CITY, OK US",OKC,1955,9,93,4.73,74.9,85.9,64
"OKLAHOMA CITY, OK US",OKC,1955,10,94,8.34,61,73.3,48.6
"OKLAHOMA CITY, OK US",OKC,1955,11,95,0.04,44.9,59,30.8
"OKLAHOMA CITY, OK US",OKC,1955,12,96,0.03,37.5,49.1,25.9
"OKLAHOMA CITY, OK US",OKC,1956,1,97,0.26,36.1,46.5,25.7
"OKLAHOMA CITY, OK US",OKC,1956,2,98,1.31,40.6,51,30.1
"OKLAHOMA CITY, OK US",OKC,1956,3,99,0.56,50.4,63.7,37.2
"OKLAHOMA CITY, OK US",OKC,1956,4,100,2.43,57.9,71,44.8
"OKLAHOMA CITY, OK US",OKC,1956,5,101,5.07,72.6,83.2,62
"OKLAHOMA CITY, OK US",OKC,1956,6,102,2.46,78.1,89.3,66.9
"OKLAHOMA CITY, OK US",OKC,1956,7,103,2.19,83,94.6,71.3
"OKLAHOMA CITY, OK US",OKC,1956,8,104,0.86,84.4,98.7,70.1
"OKLAHOMA CITY, OK US",OKC,1956,9,105,0.2,76.6,91.1,62.1
"OKLAHOMA CITY, OK US",OKC,1956,10,106,3.76,66.3,78.5,54
"OKLAHOMA CITY, OK US",OKC,1956,11,107,1.49,47.1,58.9,35.3
"OKLAHOMA CITY, OK US",OKC,1956,12,108,1.97,41.7,51.9,31.5
