NAME,Airport,year,yrMonth,serMonth,PRCP,TAVG,TMAX,TMIN
"PHOENIX, AZ US",PHX,1948,1,1,0,51.7,69.7,33.7
"PHOENIX, AZ US",PHX,1948,2,2,1.31,52.6,67.1,38
"PHOENIX, AZ US",PHX,1948,3,3,0.16,56.3,70.6,42.1
"PHOENIX, AZ US",PHX,1948,4,4,0,69.2,87,51.4
"PHOENIX, AZ US",PHX,1948,5,5,0,76.3,95.4,57.2
"PHOENIX, AZ US",PHX,1948,6,6,0.08,84.2,102.8,65.7
"PHOENIX, AZ US",PHX,1948,7,7,0.91,91.1,107,75.4
"PHOENIX, AZ US",PHX,1948,8,8,0.41,91.3,106,76.7
"PHOENIX, AZ US",PHX,1948,9,9,0,85.5,102,69.1
"PHOENIX, AZ US",PHX,1948,10,10,0.6,73.6,89.1,58.1
"PHOENIX, AZ US",PHX,1948,11,11,0,54.7,73,36.5
"PHOENIX, AZ US",PHX,1948,12,12,0.69,50,64.4,35.7
"PHOENIX, AZ US",PHX,1949,1,13,1.71,43.7,53.9,33.4
"PHOENIX, AZ US",PHX,1949,2,14,0.12,51.8,67.2,36.4
"PHOENIX, AZ US",PHX,1949,3,15,0.35,59.1,75.2,42.9
"PHOENIX, AZ US",PHX,1949,4,16,0.18,70.6,87.8,53.3
"PHOENIX, AZ US",PHX,1949,5,17,0.09,76,93.4,58.6
"PHOENIX, AZ US",PHX,1949,6,18,0.33,85.2,101.3,69.2
"PHOENIX, AZ US",PHX,1949,7,19,0.44,90.4,103.3,77.5
"PHOENIX, AZ US",PHX,1949,8,20,0.48,87.6,104,71.2
"PHOENIX, AZ US",PHX,1949,9,21,0.99,86,99.5,72.6
"PHOENIX, AZ US",PHX,1949,10,22,0.82,68.5,83.7,53.2
"PHOENIX, AZ US",PHX,1949,11,23,0.31,64.3,82.2,46.5
"PHOENIX, AZ US",PHX,1949,12,24,0.92,51.3,66,36.6
"PHOENIX, AZ US",PHX,1950,1,25,0.41,49.7,64.6,34.7
"PHOENIX, AZ US",PHX,1950,2,26,1.15,58.9,74.8,42.9
"PHOENIX, AZ US",PHX,1950,3,27,0.26,62.5,79.3,45.7
"PHOENIX, AZ US",PHX,1950,4,28,0,72.5,90.2,54.7
"PHOENIX, AZ US",PHX,1950,5,29,0,76,94.1,57.8
"PHOENIX, AZ US",PHX,1950,6,30,0.11,84.8,103.7,66
"PHOENIX, AZ US",PHX,1950,7,31,0.76,90.5,103.3,77.6
"PHOENIX, AZ US",PHX,1950,8,32,0.37,90.2,107.3,73.2
"PHOENIX, AZ US",PHX,1950,9,33,0.49,82.1,98,66.3
