NAME,Airport,year,yrMonth,serMonth,PRCP,TAVG,TMAX,TMIN
"SALT LAKE CITY, UT US",SLC,1948,1,1,0.34,30.1,39.3,20.9
"SALT LAKE CITY, UT US",SLC,1948,2,2,0.86,33.2,42.9,23.5
"SALT LAKE CITY, UT US",SLC,1948,3,3,2.3,35.7,44.9,26.4
"SALT LAKE CITY, UT US",SLC,1948,4,4,1.56,49.7,61.1,38.4
"SALT LAKE CITY, UT US",SLC,1948,5,5,0.26,59.1,73.5,44.6
"SALT LAKE CITY, UT US",SLC,1948,6,6,2.48,68,82.1,54
"SALT LAKE CITY, UT US",SLC,1948,7,7,0.39,75.7,91.1,60.2
"SALT LAKE CITY, UT US",SLC,1948,8,8,0.49,75.5,90.9,60.1
"SALT LAKE CITY, UT US",SLC,1948,9,9,0.59,65.9,81,50.9
"SALT LAKE CITY, UT US",SLC,1948,10,10,0.87,53.1,66.4,39.8
"SALT LAKE CITY, UT US",SLC,1948,11,11,1.71,35.5,44.5,26.4
"SALT LAKE CITY, UT US",SLC,1948,12,12,2.63,25.2,34.4,16
"SALT LAKE CITY, UT US",SLC,1949,1,13,2.31,11.6,21.7,1.4
"SALT LAKE CITY, UT US",SLC,1949,2,14,0.65,22.7,32.7,12.8
"SALT LAKE CITY, UT US",SLC,1949,3,15,2.96,42.4,51.6,33.2
"SALT LAKE CITY, UT US",SLC,1949,4,16,1.26,53.6,66.7,40.4
"SALT LAKE CITY, UT US",SLC,1949,5,17,2.66,60.1,72.2,48
"SALT LAKE CITY, UT US",SLC,1949,6,18,0.17,66.9,80.9,53
"SALT LAKE CITY, UT US",SLC,1949,7,19,0.3,76.8,91.8,61.8
"SALT LAKE CITY, UT US",SLC,1949,8,20,0.7,76,91.2,60.8
"SALT LAKE CITY, UT US",SLC,1949,9,21,0.65,67.1,82.3,51.9
"SALT LAKE CITY, UT US",SLC,1949,10,22,2.79,48.3,59.4,37.2
"SALT LAKE CITY, UT US",SLC,1949,11,23,0.88,44.3,57.2,31.4
"SALT LAKE CITY, UT US",SLC,1949,12,24,1.41,30.1,38.5,21.7
"SALT LAKE CITY, UT US",SLC,1950,1,25,1.81,26.5,35.8,17.3
"SALT LAKE CITY, UT US",SLC,1950,2,26,1.19,36.1,46.3,26
"SALT LAKE CITY, UT US",SLC,1950,3,27,0.98,40.8,51.7,29.9
"SALT LAKE CITY, UT US",SLC,1950,4,28,1.29,48.5,61.4,35.6
"SALT LAKE CITY, UT US",SLC,1950,5,29,2.19,54.2,67.1,41.4
"SALT LAKE CITY, UT US",SLC,1950,6,30,0.16,65.9,82.3,49.6
"SALT LAKE CITY, UT US",SLC,1950,7,31,1.06,74.3,88.6,60
"SALT LAKE CITY, UT US",SLC,1950,8,32,0.03,73.8,89.6,57.9
"SALT LAKE CITY, UT US",SLC,1950,9,33,1.73,63.4,76.3,50.5
"SALT LAKE CITY, UT US",SLC,1950,10,34,0.58,57.9,72.1,43.7
"SALT LAKE CITY, UT US",SLC,1950,11,35,2,41.5,51.6,31.5
"SALT LAKE CITY, UT US",SLC,1950,12,36,0.49,35.4,39.9,30.8
"SALT LAKE CITY, UT US",SLC,1951,1,37,1.7,29.6,37.8,21.3
"SALT LAKE CITY, UT US",SLC,1951,2,38,0.65,36.3,46.3,26.3
"SALT LAKE CITY, UT US",SLC,1951,3,39,1.26,37.1,48.8,25.4
"SALT LAKE CITY, UT US",SLC,1951,4,40,2.6,50.2,62.2,38.3
"SALT LAKE CITY, UT US",SLC,1951,5,41,0.87,59,71.2,46.8
"SALT LAKE CITY, UT US",SLC,1951,6,42,0.09,63.8,77.6,49.8
"SALT LAKE CITY, UT US",SLC,1951,7,43,2.17,75.7,91.1,60.4
"SALT LAKE CITY, UT US",SLC,1951,8,44,1.8,73.5,86.3,60.7
