NAME,Airport,year,yrMonth,serMonth,PRCP,TAVG,TMAX,TMIN
"SEATTLE, WA US",SEA,1948,1,1,4.49,38,43.6,32.5
"SEATTLE, WA US",SEA,1948,2,2,5.26,38.9,45.2,32.6
"SEATTLE, WA US",SEA,1948,3,3,3.68,42.9,51.1,34.7
"SEATTLE, WA US",SEA,1948,4,4,3.76,45.4,53.6,37.3
"SEATTLE, WA US",SEA,1948,5,5,4.77,52.9,61.4,44.4
"SEATTLE, WA US",SEA,1948,6,6,2.1,61.7,71.7,51.7
"SEATTLE, WA US",SEA,1948,7,7,1.54,62.4,73.1,51.6
"SEATTLE, WA US",SEA,1948,8,8,1.88,61.2,69.3,53
"SEATTLE, WA US",SEA,1948,9,9,3.85,57.1,67.1,47.2
"SEATTLE, WA US",SEA,1948,10,10,2.33,50.4,58.8,42
"SEATTLE, WA US",SEA,1948,11,11,6.07,42,47.7,36.4
"SEATTLE, WA US",SEA,1948,12,12,6.14,36,41.2,30.8
"SEATTLE, WA US",SEA,1949,1,13,0.78,29.9,37.3,22.6
"SEATTLE, WA US",SEA,1949,2,14,5.89,37.3,44.1,30.5
"SEATTLE, WA US",SEA,1949,3,15,3.54,45.6,53.2,37.9
"SEATTLE, WA US",SEA,1949,4,16,1.19,50.1,59.4,40.7
"SEATTLE, WA US",SEA,1949,5,17,1.3,57.3,68.4,46.1
"SEATTLE, WA US",SEA,1949,6,18,0.94,59,70.8,47.3
"SEATTLE, WA US",SEA,1949,7,19,1.04,62.6,74.1,51.1
"SEATTLE, WA US",SEA,1949,8,20,0.45,63.7,74.4,53
"SEATTLE, WA US",SEA,1949,9,21,1.43,60.8,71,50.5
"SEATTLE, WA US",SEA,1949,10,22,3.85,48.6,56.6,40.5
"SEATTLE, WA US",SEA,1949,11,23,6.78,49.4,56.2,42.6
"SEATTLE, WA US",SEA,1949,12,24,5.3,38.4,43.5,33.2
"SEATTLE, WA US",SEA,1950,1,25,8.92,24.9,30.7,19.1
"SEATTLE, WA US",SEA,1950,2,26,5.74,40,46.1,33.9
"SEATTLE, WA US",SEA,1950,3,27,8.4,42,47.9,36.2
"SEATTLE, WA US",SEA,1950,4,28,2.92,46.3,55.2,37.5
"SEATTLE, WA US",SEA,1950,5,29,0.78,51.6,61.6,41.6
"SEATTLE, WA US",SEA,1950,6,30,0.6,60.1,69.8,50.5
"SEATTLE, WA US",SEA,1950,7,31,1,63.6,75.1,52.2
"SEATTLE, WA US",SEA,1950,8,32,2.17,63.8,75.3,52.2
"SEATTLE, WA US",SEA,1950,9,33,2.3,57.8,68.3,47.3
"SEATTLE, WA US",SEA,1950,10,34,7.22,49.2,55.7,42.6
"SEATTLE, WA US",SEA,1950,11,35,7.98,43.6,48.8,38.3
"SEATTLE, WA US",SEA,1950,12,36,7.14,44.8,49.1,40.4
"SEATTLE, WA US",SEA,1951,1,37,6.8,36.9,42.2,31.7
"SEATTLE, WA US",SEA,1951,2,38,8.76,40.6,46.7,34.5
"SEATTLE, WA US",SEA,1951,3,39,3.76,39.3,46.4,32.3
"SEATTLE, WA US",SEA,1951,4,40,0.65,49.5,61.1,38
"SEATTLE, WA US",SEA,1951,5,41,1.62,54.2,64.6,43.8
"SEATTLE, WA US",SEA,1951,6,42,0.13,61.1,73.2,49
"SEATTLE, WA US",SEA,1951,7,43,0.31,64.4,76.4,52.4
"SEATTLE, WA US",SEA,1951,8,44,1.02,61.6,73.3,50
"SEATTLE, WA US",SEA,1951,9,45,2.03,59,69.5,48.6
"SEATTLE, WA US",SEA,1951,10,46,5.87,50.8,57.8,43.8
"SEATTLE, WA US",SEA,1951,11,47,5.44,44.5,50.8,38.3
"SEATTLE, WA US",SEA,1951,12,48,3.92,36.4,41.6,31.2
"SEATTLE, WA US",SEA,1952,1,49,4.89,36.4,41.6,31.3
"SEATTLE, WA US",SEA,1952,2,50,2.46,40.7,46.6,34.7
"SEATTLE, WA US",SEA,1952,3,51,3.53,42.3,48.8,35.8
"SEATTLE, WA US",SEA,1952,4,52,2.04,48.5,58.8,38.1
"SEATTLE, WA US",SEA,1952,5,53,0.98,54,63.9,44.1
"SEATTLE, WA US",SEA,1952,6,54,1.04,56.5,65.7,47.2
"SEATTLE, WA US",SEA,1952,7,55,0.41,63.4,75.5,51.3
"SEATTLE, WA US",SEA,1952,8,56,0.7,63,74,52
"SEATTLE, WA US",SEA,1952,9,57,0.32,59.2,70.6,47.7
"SEATTLE, WA US",SEA,1952,10,58,1.29,54.3,63.5,45
"SEATTLE, WA US",SEA,1952,11,59,1.11,41,48.5,33.6
"SEATTLE, WA US",SEA,1952,12,60,5.02,41.6,47,36.3
"SEATTLE, WA US",SEA,1953,1,61,12.91,44.3,49,39.6
"SEATTLE, WA US",SEA,1953,2,62,3.71,40.2,46,34.3
"SEATTLE, WA US",SEA,1953,3,63,3.73,42.9,50.1,35.8
"SEATTLE, WA US",SEA,1953,4,64,2.1,46.8,54.9,38.6
"SEATTLE, WA US",SEA,1953,5,65,2.51,52.6,61.7,43.5
"SEATTLE, WA US",SEA,1953,6,66,1.85,55.5,63.3,47.7
"SEATTLE, WA US",SEA,1953,7,67,0.67,61.8,72.2,51.5
"SEATTLE, WA US",SEA,1953,8,68,1.11,62.7,72.8,52.6
"SEATTLE, WA US",SEA,1953,9,69,3.28,59.6,69.7,49.6
"SEATTLE, WA US",SEA,1953,10,70,4.43,53.2,60.8,45.5
"SEATTLE, WA US",SEA,1953,11,71,7.22,46.7,52.9,40.5
"SEATTLE, WA US",SEA,1953,12,72,5.92,42.3,46.9,37.6
"SEATTLE, WA US",SEA,1954,1,73,8.36,36,40.7,31.4
"SEATTLE, WA US",SEA,1954,2,74,4.39,42.2,48.7,35.7
"SEATTLE, WA US",SEA,1954,3,75,2.07,40.7,49.9,31.4
"SEATTLE, WA US",SEA,1954,4,76,2.65,45.5,53.5,37.5
"SEATTLE, WA US",SEA,1954,5,77,1.89,53.9,63.6,44.2
"SEATTLE, WA US",SEA,1954,6,78,2.44,56.3,64.8,47.8
"SEATTLE, WA US",SEA,1954,7,79,1.46,60.1,69.5,50.7
"SEATTLE, WA US",SEA,1954,8,80,1.57,60.6,68.6,52.6
"SEATTLE, WA US",SEA,1954,9,81,1.68,58.7,66.2,51.1
"SEATTLE, WA US",SEA,1954,10,82,1.91,50.6,59,42.1
"SEATTLE, WA US",SEA,1954,11,83,7.68,48.9,54.4,43.5
"SEATTLE, WA US",SEA,1954,12,84,5.2,40.7,45.7,35.8
"SEATTLE, WA US",SEA,1955,1,85,3.35,39.1,43.6,34.6
"SEATTLE, WA US",SEA,1955,2,86,4.3,38.2,44.3,32.1
"SEATTLE, WA US",SEA,1955,3,87,3.26,39.1,46.1,32.2
"SEATTLE, WA US",SEA,1955,4,88,3.65,44.6,52.8,36.3
"SEATTLE, WA US",SEA,1955,5,89,1.95,50.6,58.9,42.4
"SEATTLE, WA US",SEA,1955,6,90,1.28,58,66.6,49.2
"SEATTLE, WA US",SEA,1955,7,91,2.1,60,68.6,51.5
"SEATTLE, WA US",SEA,1955,8,92,0.17,60.9,71.3,50.5
"SEATTLE, WA US",SEA,1955,9,93,1.53,57,66,47.9
"SEATTLE, WA US",SEA,1955,10,94,6.6,50.4,56.7,44.1
"SEATTLE, WA US",SEA,1955,11,95,8.96,38.9,44.4,33.4
"SEATTLE, WA US",SEA,1955,12,96,9.5,38.4,43.6,33.1
"SEATTLE, WA US",SEA,1956,1,97,8.67,39,44.3,33.6
"SEATTLE, WA US",SEA,1956,2,98,2.17,35.6,40.7,30.6
"SEATTLE, WA US",SEA,1956,3,99,4.95,40.8,47.5,34.1
"SEATTLE, WA US",SEA,1956,4,100,0.33,49.6,59.8,39.4
"SEATTLE, WA US",SEA,1956,5,101,0.83,56.8,67.2,46.4
"SEATTLE, WA US",SEA,1956,6,102,2.47,56.9,64.6,49.2
"SEATTLE, WA US",SEA,1956,7,103,0.33,64.6,75.5,53.7
"SEATTLE, WA US",SEA,1956,8,104,0.76,62.9,73.5,52.4
"SEATTLE, WA US",SEA,1956,9,105,2.43,57.9,66.5,49.2
"SEATTLE, WA US",SEA,1956,10,106,6.71,49.5,55.6,43.3
"SEATTLE, WA US",SEA,1956,11,107,1.59,42.6,48.3,36.9
"SEATTLE, WA US",SEA,1956,12,108,5.63,40.2,45.1,35.3
"SEATTLE, WA US",SEA,1957,1,109,2.41,32.6,37.9,27.3
"SEATTLE, WA US",SEA,1957,2,110,5.58,39.5,45.6,33.4
"SEATTLE, WA US",SEA,1957,3,111,6.28,44.4,50.3,38.5
"SEATTLE, WA US",SEA,1957,4,112,2.24,50.1,57.8,42.4
"SEATTLE, WA US",SEA,1957,5,113,1.17,57.9,66.6,49.2
"SEATTLE, WA US",SEA,1957,6,114,1.19,60.3,68.7,52
"SEATTLE, WA US",SEA,1957,7,115,1.1,61.8,71,52.6
"SEATTLE, WA US",SEA,1957,8,116,1.64,61.6,71,52.2
"SEATTLE, WA US",SEA,1957,9,117,0.76,62.7,73.5,51.9
"SEATTLE, WA US",SEA,1957,10,118,3.79,50.7,57.8,43.6
"SEATTLE, WA US",SEA,1957,11,119,3,43.5,49.9,37.1
"SEATTLE, WA US",SEA,1957,12,120,5.52,43.6,48.6,38.7
"SEATTLE, WA US",SEA,1958,1,121,8.72,43.6,48.7,38.5
"SEATTLE, WA US",SEA,1958,2,122,5.37,47.5,53.3,41.7
"SEATTLE, WA US",SEA,1958,3,123,2.26,44,51.6,36.4
"SEATTLE, WA US",SEA,1958,4,124,3.51,49.2,58,40.4
"SEATTLE, WA US",SEA,1958,5,125,0.95,60.4,70.6,50.2
"SEATTLE, WA US",SEA,1958,6,126,0.9,63.9,73,54.9
"SEATTLE, WA US",SEA,1958,7,127,0,68.8,81.4,56.2
"SEATTLE, WA US",SEA,1958,8,128,0.31,66.5,78.3,54.8
"SEATTLE, WA US",SEA,1958,9,129,1.43,59.8,68.1,51.5
"SEATTLE, WA US",SEA,1958,10,130,3.99,53.9,61.9,45.9
"SEATTLE, WA US",SEA,1958,11,131,8.07,43.4,48.8,38.1
"SEATTLE, WA US",SEA,1958,12,132,7.15,44.9,49.6,40.1
"SEATTLE, WA US",SEA,1959,1,133,7.98,40.8,45.1,36.4
"SEATTLE, WA US",SEA,1959,2,134,3.64,41,46,36
"SEATTLE, WA US",SEA,1959,3,135,4.13,44.1,50.3,38
"SEATTLE, WA US",SEA,1959,4,136,3.59,49.6,56.9,42.2
"SEATTLE, WA US",SEA,1959,5,137,1.6,53.4,62.5,44.4
"SEATTLE, WA US",SEA,1959,6,138,1.82,59.5,67.5,51.5
"SEATTLE, WA US",SEA,1959,7,139,0.93,66.1,76.9,55.2
"SEATTLE, WA US",SEA,1959,8,140,0.6,62.3,71.7,52.8
"SEATTLE, WA US",SEA,1959,9,141,4.59,57.4,64.5,50.4
"SEATTLE, WA US",SEA,1959,10,142,2.67,52,58.2,45.8
